0.000000000000000000e+00 1.737437498693360520e-04 4.384365877798942351e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.836518884266659684e-19 1.737437498628882746e-04 4.384365877692261021e-02 1.464827425176184884e-13 9.999999999999999547e-07
2.228853733313372208e-19 1.737437498623247605e-04 4.384365877682935841e-02 1.592847328269763772e-13 1.066666666665582487e-06
2.705002930850132105e-19 1.737437498616836175e-04 4.384365877672326273e-02 1.738505529122548188e-13 1.137777777775456014e-06
3.282871705101528117e-19 1.737437498609541392e-04 4.384365877660257454e-02 1.904232193203404776e-13 1.213629629625871295e-06
3.984190371565823888e-19 1.737437498601241553e-04 4.384365877646525383e-02 2.092792308779084508e-13 1.294538271599489764e-06
4.835331484992391999e-19 1.737437498591798152e-04 4.384365877630901076e-02 2.307331818055250240e-13 1.380840823037810852e-06
5.868301559233381990e-19 1.737437498581053709e-04 4.384365877613122936e-02 2.551430104163596873e-13 1.472896877905091458e-06
7.121944647839922721e-19 1.737437498568828787e-04 4.384365877592896754e-02 2.829159709689414932e-13 1.571090003096529072e-06
8.643403045135213116e-19 1.737437498554919558e-04 4.384365877569881831e-02 3.145154283085163530e-13 1.675829336633654567e-06
1.048989003631671535e-18 1.737437498539094001e-04 4.384365877543699996e-02 3.504685886589907186e-13 1.787551292406084500e-06
1.273084135950590988e-18 1.737437498521087842e-04 4.384365877513906468e-02 3.913752955462085677e-13 1.906721378562724366e-06
1.545052628383861978e-18 1.737437498500601029e-04 4.384365877480008583e-02 4.379180376039892794e-13 2.033836137129049727e-06
1.875121649120033640e-18 1.737437498477291495e-04 4.384365877441441517e-02 4.908733352334397132e-13 2.169425212932204982e-06
2.275703192499246170e-18 1.737437498450770284e-04 4.384365877397561340e-02 5.511246960908804023e-13 2.314053560454443442e-06
2.761860822614540219e-18 1.737437498420595311e-04 4.384365877347635998e-02 6.196773555541046531e-13 2.468323797810124730e-06
3.351876127175742855e-18 1.737437498386262694e-04 4.384365877290828661e-02 6.976750480973179655e-13 2.632878717654515071e-06
4.067936182702362612e-18 1.737437498347199974e-04 4.384365877226198416e-02 7.864190893888411538e-13 2.808403965486501379e-06
4.936967882650833824e-18 1.737437498302755274e-04 4.384365877152664182e-02 8.873900874778232073e-13 2.995630896504820214e-06
5.991650502750313235e-18 1.737437498252187001e-04 4.384365877068993611e-02 1.002272645300002819e-12 3.195339622921363982e-06
7.271644580295773908e-18 1.737437498194651373e-04 4.384365876973798232e-02 1.132983466639807194e-12 3.408362264428705572e-06
8.825083318468843527e-18 1.737437498129188872e-04 4.384365876865487649e-02 1.281703334469435397e-12 3.635586415365451866e-06
1.071038259881063516e-17 1.737437498054706893e-04 4.384365876742252199e-02 1.450913495192417117e-12 3.877958843025951253e-06
1.299843766598782639e-17 1.737437497969962941e-04 4.384365876602038664e-02 1.643437055827368696e-12 4.136489432523972790e-06
1.577528908951040787e-17 1.737437497873543216e-04 4.384365876442506554e-02 1.862486084803698808e-12 4.412255394647292267e-06
1.914535825386197390e-17 1.737437497763839032e-04 4.384365876260993417e-02 2.111715202200233654e-12 4.706405754235907005e-06
2.323537404518571461e-17 1.737437497639019986e-04 4.384365876054474587e-02 2.395282553527774382e-12 5.020166137785452914e-06
2.819913839458932756e-17 1.737437497497003596e-04 4.384365875819501435e-02 2.717919184343842017e-12 5.354843880224170550e-06
3.422330988269634647e-17 1.737437497335420609e-04 4.384365875552151404e-02 3.085007973147581162e-12 5.711833472141651407e-06
4.153442289348909394e-17 1.737437497151575157e-04 4.384365875247969724e-02 3.502673439473391240e-12 6.092622370166148430e-06
5.040740626737824289e-17 1.737437496942399761e-04 4.384365874901877125e-02 3.977883925543966021e-12 6.498797194700348147e-06
6.117592179095999500e-17 1.737437496704404645e-04 4.384365874508099753e-02 4.518567856284206398e-12 6.932050340839499377e-06
7.424491129449355728e-17 1.737437496433619189e-04 4.384365874060068557e-02 5.133746017381228874e-12 7.394187030017382848e-06
9.010582418114157288e-17 1.737437496125525524e-04 4.384365873550307574e-02 5.833682058321177065e-12 7.887132831761963341e-06
1.093550980076092129e-16 1.737437495774983446e-04 4.384365872970316658e-02 6.630053731399545147e-12 8.412941686901372838e-06
1.327165870643345189e-16 1.737437495376144498e-04 4.384365872310413970e-02 7.536147723661221762e-12 8.973804465650224793e-06
1.610687823648947456e-16 1.737437494922354389e-04 4.384365871559595812e-02 8.567081332351519470e-12 9.572058096234936281e-06
1.954778466315803931e-16 1.737437494406041864e-04 4.384365870705324297e-02 9.740054682317251165e-12 1.021019530209398444e-05
2.372377065325817147e-16 1.737437493818593209e-04 4.384365869733355958e-02 1.107463769335957705e-11 1.089087498822472853e-05
2.879187098087892261e-16 1.737437493150206964e-04 4.384365868627473212e-02 1.259309658530936540e-11 1.161693331995321187e-05
