1.000000000000000000e+01 4.351982999999999915e-12 1.000000000000000000e+01
1.122017999999999915e+01 7.311134999999999422e-12 1.122017999999999915e+01
1.258924999999999983e+01 1.217426999999999958e-11 1.258924999999999983e+01
1.412537999999999982e+01 2.009864000000000048e-11 1.412537999999999982e+01
1.584892999999999930e+01 3.290466999999999857e-11 1.584892999999999930e+01
1.778278999999999854e+01 5.343347000000000294e-11 1.778278999999999854e+01
1.995261999999999958e+01 8.608526000000000068e-11 1.995261999999999958e+01
2.238720999999999961e+01 1.376243999999999926e-10 2.238720999999999961e+01
2.511886000000000152e+01 2.183742000000000119e-10 2.511886000000000152e+01
2.818383000000000038e+01 3.439793000000000200e-10 2.818383000000000038e+01
3.162277999999999878e+01 5.379859999999999866e-10 3.162277999999999878e+01
3.548134000000000299e+01 8.355981000000000036e-10 3.548134000000000299e+01
3.981072000000000344e+01 1.289106999999999982e-09 3.981072000000000344e+01
4.466835999999999984e+01 1.975698999999999797e-09 4.466835999999999984e+01
5.011872000000000327e+01 3.008605000000000076e-09 5.011872000000000327e+01
5.623413000000000039e+01 4.552946999999999953e-09 5.623413000000000039e+01
6.309573000000000320e+01 6.848117000000000414e-09 6.309573000000000320e+01
7.079457999999999629e+01 1.023922000000000055e-08 7.079457999999999629e+01
7.943282000000000664e+01 1.522102000000000086e-08 7.943282000000000664e+01
8.912509000000000015e+01 2.249902000000000158e-08 8.912509000000000015e+01
1.000000000000000000e+02 3.307400999999999878e-08 1.000000000000000000e+02
1.122018000000000058e+02 4.835837999999999736e-08 1.122018000000000058e+02
1.258924999999999983e+02 7.033554000000000091e-08 1.258924999999999983e+02
1.412538000000000125e+02 1.017773000000000017e-07 1.412538000000000125e+02
1.584892999999999859e+02 1.465391999999999971e-07 1.584892999999999859e+02
1.778278999999999996e+02 2.099590999999999997e-07 1.778278999999999996e+02
1.995261999999999887e+02 2.993945999999999935e-07 1.995261999999999887e+02
2.238720999999999890e+02 4.249430000000000220e-07 2.238720999999999890e+02
2.511886000000000081e+02 6.004019999999999522e-07 2.511886000000000081e+02
2.818383000000000038e+02 8.445479999999999733e-07 2.818383000000000038e+02
3.162278000000000020e+02 1.182829000000000089e-06 3.162278000000000020e+02
3.548134000000000015e+02 1.649601999999999898e-06 3.548134000000000015e+02
3.981071999999999775e+02 2.291065000000000061e-06 3.981071999999999775e+02
4.466836000000000126e+02 3.169117999999999936e-06 4.466836000000000126e+02
5.011872000000000185e+02 4.366385000000000039e-06 5.011872000000000185e+02
5.623413000000000466e+02 5.992764999999999704e-06 5.623413000000000466e+02
6.309573000000000320e+02 8.193924000000000257e-06 6.309573000000000320e+02
7.079457999999999629e+02 1.116228000000000013e-05 7.079457999999999629e+02
7.943282000000000380e+02 1.515116999999999948e-05 7.943282000000000380e+02
8.912509000000000015e+02 2.049305999999999925e-05 8.912509000000000015e+02
9.999999000000000251e+02 2.762284999999999930e-05 1.000000000000000000e+03
