0.0	0.00517133620438	0.123568219544	0	0.0
5.17601347649e-25	0.00517133620438	0.123568219544	2.91293137482e-17	1e-08
5.7110599066e-25	0.00517133620438	0.123568219544	3.11036339023e-17	1.03333333333e-08
6.30141428435e-25	0.00517133620438	0.123568219544	3.3211769089e-17	1.06777777778e-08
6.95279381278e-25	0.00517133620438	0.123568219544	3.54627889939e-17	1.10337037037e-08
7.67150668432e-25	0.00517133620438	0.123568219544	3.78663780257e-17	1.14014938272e-08
8.46451317157e-25	0.00517133620438	0.123568219544	4.04328769808e-17	1.17815436214e-08
9.33949303312e-25	0.00517133620438	0.123568219544	4.31733275317e-17	1.21742617421e-08
1.0304919887e-24	0.00517133620438	0.123568219544	4.60995197311e-17	1.25800704668e-08
1.13701432724e-24	0.00517133620438	0.123568219544	4.92240427351e-17	1.29994061491e-08
1.25454791936e-24	0.00517133620438	0.123568219544	5.25603389649e-17	1.34327196874e-08
1.38423100243e-24	0.00517133620438	0.123568219544	5.61227619392e-17	1.38804770103e-08
1.52731947383e-24	0.00517133620438	0.123568219544	5.99266380262e-17	1.43431595773e-08
1.68519905352e-24	0.00517133620438	0.123568219544	6.39883323813e-17	1.48212648965e-08
1.85939870383e-24	0.00517133620438	0.123568219544	6.83253193538e-17	1.53153070598e-08
2.05160543651e-24	0.00517133620438	0.123568219544	7.29562576656e-17	1.58258172951e-08
2.26368065033e-24	0.00517133620438	0.123568219544	7.79010706851e-17	1.63533445383e-08
2.49767815756e-24	0.00517133620438	0.123568219544	8.31810321427e-17	1.68984560229e-08
2.75586407377e-24	0.00517133620438	0.123568219544	8.88188576546e-17	1.74617378903e-08
3.04073876377e-24	0.00517133620438	0.123568219544	9.48388024512e-17	1.804379582e-08
3.35506105598e-24	0.00517133620438	0.123568219544	1.01266765728e-16	1.86452556806e-08
3.70187495995e-24	0.00517133620438	0.123568219544	1.08130402072e-16	1.92667642033e-08
4.08453914563e-24	0.00517133620438	0.123568219544	1.15459240435e-16	1.99089896768e-08
4.5067594699e-24	0.00517133620438	0.123568219544	1.23284811175e-16	2.0572622666e-08
4.97262486547e-24	0.00517133620438	0.123568219544	1.31640781711e-16	2.12583767549e-08
5.48664693953e-24	0.00517133620438	0.123568219544	1.4056310136e-16	2.19669893134e-08
6.05380366576e-24	0.00517133620438	0.123568219544	1.50090156008e-16	2.26992222905e-08
6.67958759284e-24	0.00517133620438	0.123568219544	1.60262933248e-16	2.34558630335e-08
7.37005903624e-24	0.00517133620438	0.123568219544	1.71125198724e-16	2.42377251346e-08
8.13190476846e-24	0.00517133620438	0.123568219544	1.82723684415e-16	2.50456493058e-08
8.97250277619e-24	0.00517133620438	0.123568219544	1.95108289692e-16	2.58805042826e-08
9.89999371132e-24	0.00517133620438	0.123568219544	2.08332295994e-16	2.67431877587e-08
1.09233597279e-23	0.00517133620438	0.123568219544	2.22452596055e-16	2.76346273507e-08
1.20525114687e-23	0.00517133620438	0.123568219544	2.37529938677e-16	2.85557815957e-08
1.32983840431e-23	0.00517133620438	0.123568219544	2.53629190748e-16	2.95076409822e-08
1.4673042927e-23	0.00517133620438	0.123568219544	2.70819614349e-16	3.04912290149e-08
1.61898008088e-23	0.00517133620438	0.123568219544	2.8917516666e-16	3.15076033154e-08
1.78633465146e-23	0.00517133620438	0.123568219544	3.08774817517e-16	3.25578567593e-08
1.97098872599e-23	0.00517133620438	0.123568219544	3.29702889154e-16	3.36431186513e-08
2.17473056059e-23	0.00517133620438	0.123568219544	3.5204941898e-16	3.47645559396e-08
2.39953326409e-23	0.00517133620438	0.123568219544	3.75910546939e-16	3.5923374471e-08
2.64757390632e-23	0.00517133620438	0.123568219544	4.01388929126e-16	3.71208202867e-08
2.9212546016e-23	0.00517133620438	0.123568219544	4.28594179439e-16	3.83581809629e-08
3.22322577171e-23	0.00517133620438	0.123568219544	4.57643341162e-16	3.9636786995e-08
3.55641181352e-23	0.00517133620438	0.123568219544	4.88661390512e-16	4.09580132281e-08
3.92403941987e-23	0.00517133620438	0.123568219544	5.21781774319e-16	4.23232803358e-08
4.32966882805e-23	0.00517133620438	0.123568219544	5.5714698414e-16	4.37340563469e-08
4.77722829839e-23	0.00517133620438	0.123568219544	5.94909169292e-16	4.51918582252e-08
5.27105215694e-23	0.00517133620438	0.123568219544	6.35230791439e-16	4.66982534993e-08
5.81592277064e-23	0.00517133620438	0.123568219544	6.78285323531e-16	4.82548619493e-08
6.41711686149e-23	0.00517133620438	0.123568219544	7.24257996131e-16	4.98633573476e-08
7.08045660817e-23	0.00517133620438	0.123568219544	7.73346594319e-16	5.15254692592e-08
7.81236603015e-23	0.00517133620438	0.123568219544	8.25762308606e-16	5.32429849012e-08
8.61993320015e-23	0.00517133620438	0.123568219544	8.81730643528e-16	5.50177510646e-08
9.51097888762e-23	0.00517133620438	0.123568219544	9.41492387817e-16	5.68516761001e-08
1.04941322978e-22	0.00517133620438	0.123568219544	1.00530465033e-15	5.87467319701e-08
1.15789146402e-22	0.00517133620438	0.123568219544	1.07344196619e-15	6.07049563691e-08
1.2775831335e-22	0.00517133620438	0.123568219544	1.1461974779e-15	6.27284549147e-08
1.40964737519e-22	0.00517133620438	0.123568219544	1.22388419652e-15	6.48194034119e-08
1.55536314645e-22	0.00517133620438	0.123568219544	1.30683634829e-15	6.69800501922e-08
1.71614161096e-22	0.00517133620438	0.123568219544	1.39541081257e-15	6.9212718532e-08
1.8935398049e-22	0.00517133620438	0.123568219544	1.48998865721e-15	7.15198091497e-08
