0.0	16.5407360611	17.8610418929	0.0	0.0	0.0
7.481615731e-17	16.5407360555	17.8610418872	1.63157967667e-10	7.48161532671e-11	1e-06
8.37540442561e-17	16.5407360551	17.8610418869	1.7420145928e-10	8.06620326023e-11	1.03833333333e-06
9.37596928451e-17	16.5407360547	17.8610418864	1.86107846381e-10	8.69646576897e-11	1.0781361111e-06
1.04960662861e-16	16.5407360542	17.861041886	1.98944552267e-10	9.37596666884e-11	1.11946466202e-06
1.17499752973e-16	16.5407360538	17.8610418855	2.1278426843e-10	1.0108569536e-10	1.16237747406e-06
1.31536821248e-16	16.5407360533	17.861041885	2.27705366192e-10	1.08984155022e-10	1.20693527723e-06
1.47250823139e-16	16.5407360527	17.8610418844	2.43792340507e-10	1.17499787664e-10	1.25320112951e-06
1.64842092954e-16	16.5407360521	17.8610418838	2.61136288433e-10	1.26680776963e-10	1.30124050614e-06
1.84534897871e-16	16.5407360515	17.8610418832	2.79835425001e-10	1.36579081359e-10	1.3511213922e-06
2.06580297071e-16	16.5407360508	17.8610418825	2.99995639382e-10	1.47250878136e-10	1.40291437889e-06
2.31259342434e-16	16.54073605	17.8610418817	3.21731094512e-10	1.58756452403e-10	1.4566927634e-06
2.58886661608e-16	16.5407360492	17.8610418809	3.45164873578e-10	1.71161085276e-10	1.51253265266e-06
2.89814469128e-16	16.5407360483	17.86104188	3.70429677008e-10	1.84534942848e-10	1.570513071e-06
3.24437056718e-16	16.5407360474	17.8610418791	3.97668573924e-10	1.9895374233e-10	1.63071607204e-06
3.63195820029e-16	16.5407360464	17.8610418781	4.27035812315e-10	2.14499196137e-10	1.69322685478e-06
4.06584885896e-16	16.5407360453	17.861041877	4.58697692506e-10	2.31259344954e-10	1.7581338842e-06
4.55157411848e-16	16.5407360441	17.8610418758	4.92833508884e-10	2.49329112849e-10	1.82552901641e-06
5.0953263819e-16	16.5407360429	17.8610418745	5.296365652e-10	2.68810640341e-10	1.89550762869e-06
5.70403782562e-16	16.5407360415	17.8610418731	5.69315269211e-10	2.89814505643e-10	1.96816875443e-06
6.38546877615e-16	16.54073604	17.8610418716	6.12094312844e-10	3.12459502618e-10	2.04361522332e-06
7.14830664477e-16	16.5407360384	17.86104187	6.58215944579e-10	3.36873862026e-10	2.12195380686e-06
8.00227668141e-16	16.5407360367	17.8610418683	7.07941341252e-10	3.63195806631e-10	2.20329536942e-06
8.95826595971e-16	16.5407360349	17.8610418664	7.61552087039e-10	3.91574550409e-10	2.28775502521e-06
1.00284621738e-15	16.5407360329	17.8610418644	8.1935176801e-10	4.22170631608e-10	2.37545230114e-06
1.12265090168e-15	16.5407360308	17.8610418622	8.81667691267e-10	4.55157467065e-10	2.46651130597e-06
1.25676801206e-15	16.5407360284	17.8610418599	9.4885273842e-10	4.90721685268e-10	2.56106090599e-06
1.40690737767e-15	16.540736026	17.8610418574	1.02128736387e-09	5.29064791697e-10	2.65923490733e-06
1.57498309182e-15	16.5407360233	17.8610418546	1.09938174926e-09	5.70403834951e-10	2.76117224538e-06
1.76313791429e-15	16.5407360204	17.8610418517	1.1835781262e-09	6.14972961065e-10	2.86701718138e-06
1.97377058898e-15	16.5407360172	17.8610418485	1.27435328059e-09	6.63024523733e-10	2.97691950659e-06
2.2095664249e-15	16.5407360139	17.8610418451	1.37222125252e-09	7.14830638615e-10	3.09103475426e-06
2.47353153057e-15	16.5407360102	17.8610418415	1.47773624715e-09	7.70684737655e-10	3.20952441974e-06
2.76903113826e-15	16.5407360063	17.8610418375	1.59149577311e-09	8.30903123392e-10	3.33255618905e-06
3.09983250659e-15	16.5407360021	17.8610418332	1.71414402599e-09	8.95826634292e-10	3.46030417618e-06
3.47015294843e-15	16.5407359976	17.8610418286	1.84637553636e-09	9.65822976217e-10	3.59294916946e-06
3.88471359651e-15	16.5407359927	17.8610418237	1.98893910268e-09	1.04128872083e-09	3.73067888747e-06
4.34879959207e-15	16.5407359874	17.8610418183	2.14264203161e-09	1.12265097092e-09	3.87368824465e-06
4.86832746397e-15	16.5407359817	17.8610418125	2.30835470962e-09	1.21037046905e-09	4.02217962718e-06
5.44992055716e-15	16.5407359755	17.8610418063	2.4870155318e-09	1.30494415103e-09	4.17636317934e-06
6.10099347227e-15	16.5407359689	17.8610417996	2.67963621575e-09	1.4069073664e-09	4.33645710097e-06
6.82984659264e-15	16.5407359618	17.8610417924	2.8873075308e-09	1.51683765318e-09	4.50268795624e-06
7.64577190412e-15	16.5407359541	17.8610417846	3.11120547469e-09	1.6353575134e-09	4.67529099426e-06
8.55917145647e-15	16.5407359457	17.8610417762	3.35259793311e-09	1.76313796585e-09	4.85451048204e-06
9.58168997677e-15	16.5407359368	17.8610417671	3.61285185934e-09	1.90090265389e-09	5.04060005014e-06
1.07263633255e-14	16.5407359271	17.8610417573	3.89344101513e-09	2.04943184225e-09	5.23382305164e-06
1.20077846877e-14	16.5407359167	17.8610417468	4.1959543162e-09	2.20956641384e-09	5.43445293482e-06
1.34422906183e-14	16.5407359055	17.8610417355	4.52210482998e-09	2.38221330982e-09	5.64277363013e-06
1.50481693133e-14	16.5407358934	17.8610417232	4.87373947631e-09	2.56835019259e-09	5.85907995202e-06
1.68458937616e-14	16.5407358804	17.86104171	5.25284948618e-09	2.76903110785e-09	6.08367801619e-06
1.88583827509e-14	16.5407358663	17.8610416958	5.66158167758e-09	2.98539247986e-09	6.31688567274e-06
2.11112930539e-14	16.5407358512	17.8610416804	6.10225061255e-09	3.21865943972e-09	6.55903295603e-06
